steps: 1000     train: 4.126bpc val: 2.939bpc   ms/batch: 266.7 span_avg: 37    span_max: 61
steps: 2000     train: 2.721bpc val: 2.367bpc   ms/batch: 277.2 span_avg: 42    span_max: 114
steps: 3000     train: 2.326bpc val: 2.122bpc   ms/batch: 286.3 span_avg: 48    span_max: 185
steps: 4000     train: 2.136bpc val: 1.993bpc   ms/batch: 295.1 span_avg: 55    span_max: 294
steps: 5000     train: 1.975bpc val: 1.811bpc   ms/batch: 304.1 span_avg: 64    span_max: 585
steps: 6000     train: 1.814bpc val: 1.648bpc   ms/batch: 319.2 span_avg: 74    span_max: 840
steps: 7000     train: 1.698bpc val: 1.578bpc   ms/batch: 330.8 span_avg: 82    span_max: 1044
steps: 8000     train: 1.634bpc val: 1.527bpc   ms/batch: 346.9 span_avg: 90    span_max: 1228
steps: 9000     train: 1.582bpc val: 1.480bpc   ms/batch: 361.1 span_avg: 97    span_max: 1403
steps: 10000    train: 1.532bpc val: 1.461bpc   ms/batch: 371.5 span_avg: 104   span_max: 1581
steps: 11000    train: 1.510bpc val: 1.440bpc   ms/batch: 444.8 span_avg: 110   span_max: 1761
steps: 12000    train: 1.472bpc val: 1.405bpc   ms/batch: 454.5 span_avg: 117   span_max: 1932
steps: 13000    train: 1.455bpc val: 1.390bpc   ms/batch: 465.8 span_avg: 124   span_max: 2115
steps: 14000    train: 1.440bpc val: 1.367bpc   ms/batch: 474.7 span_avg: 131   span_max: 2281
steps: 15000    train: 1.410bpc val: 1.360bpc   ms/batch: 488.5 span_avg: 137   span_max: 2431
steps: 16000    train: 1.405bpc val: 1.333bpc   ms/batch: 499.3 span_avg: 143   span_max: 2585
steps: 17000    train: 1.381bpc val: 1.329bpc   ms/batch: 508.6 span_avg: 148   span_max: 2731
steps: 18000    train: 1.374bpc val: 1.319bpc   ms/batch: 521.1 span_avg: 154   span_max: 2875
steps: 19000    train: 1.364bpc val: 1.305bpc   ms/batch: 528.5 span_avg: 160   span_max: 3010
steps: 20000    train: 1.342bpc val: 1.309bpc   ms/batch: 537.8 span_avg: 165   span_max: 3154
steps: 21000    train: 1.342bpc val: 1.297bpc   ms/batch: 548.8 span_avg: 170   span_max: 3297
steps: 22000    train: 1.336bpc val: 1.274bpc   ms/batch: 555.0 span_avg: 175   span_max: 3428
steps: 23000    train: 1.315bpc val: 1.286bpc   ms/batch: 557.4 span_avg: 179   span_max: 3570
