steps: 61000    train: 1.191bpc val: 1.154bpc   ms/batch: 589.1 span_avg: 164   span_max: 3792
steps: 62000    train: 1.176bpc val: 1.152bpc   ms/batch: 571.7 span_avg: 165   span_max: 3817
steps: 63000    train: 1.180bpc val: 1.143bpc   ms/batch: 558.1 span_avg: 165   span_max: 3852
steps: 49000    train: 1.219bpc val: 1.180bpc   ms/batch: 546.6 span_avg: 150   span_max: 3420
steps: 50000    train: 1.216bpc val: 1.172bpc   ms/batch: 528.4 span_avg: 152   span_max: 3458
steps: 51000    train: 1.203bpc val: 1.170bpc   ms/batch: 537.8 span_avg: 153   span_max: 3487
steps: 52000    train: 1.205bpc val: 1.175bpc   ms/batch: 557.2 span_avg: 154   span_max: 3529
steps: 53000    train: 1.210bpc val: 1.165bpc   ms/batch: 540.2 span_avg: 156   span_max: 3572
steps: 54000    train: 1.194bpc val: 1.161bpc   ms/batch: 563.2 span_avg: 157   span_max: 3601
steps: 55000    train: 1.202bpc val: 1.169bpc   ms/batch: 556.1 span_avg: 158   span_max: 3631
steps: 56000    train: 1.192bpc val: 1.162bpc   ms/batch: 546.5 span_avg: 159   span_max: 3659
steps: 57000    train: 1.196bpc val: 1.156bpc   ms/batch: 574.9 span_avg: 160   span_max: 3685
steps: 58000    train: 1.195bpc val: 1.159bpc   ms/batch: 558.5 span_avg: 161   span_max: 3720
steps: 59000    train: 1.182bpc val: 1.157bpc   ms/batch: 584.3 span_avg: 162   span_max: 3742
steps: 60000    train: 1.191bpc val: 1.150bpc   ms/batch: 561.8 span_avg: 163   span_max: 3764
steps: 61000    train: 1.191bpc val: 1.154bpc   ms/batch: 589.1 span_avg: 164   span_max: 3792
steps: 62000    train: 1.176bpc val: 1.152bpc   ms/batch: 571.7 span_avg: 165   span_max: 3817
steps: 63000    train: 1.180bpc val: 1.143bpc   ms/batch: 558.1 span_avg: 165   span_max: 3852
steps: 64000    train: 1.186bpc val: 1.151bpc   ms/batch: 595.0 span_avg: 166   span_max: 3878
steps: 65000    train: 1.171bpc val: 1.151bpc   ms/batch: 573.9 span_avg: 167   span_max: 3903
steps: 66000    train: 1.180bpc val: 1.142bpc   ms/batch: 563.6 span_avg: 167   span_max: 3907
steps: 67000    train: 1.169bpc val: 1.143bpc   ms/batch: 595.9 span_avg: 168   span_max: 3931
steps: 68000    train: 1.174bpc val: 1.149bpc   ms/batch: 576.8 span_avg: 169   span_max: 3945
steps: 69000    train: 1.174bpc val: 1.132bpc   ms/batch: 565.1 span_avg: 169   span_max: 3957
steps: 70000    train: 1.162bpc val: 1.143bpc   ms/batch: 588.6 span_avg: 169   span_max: 3975
steps: 71000    train: 1.170bpc val: 1.147bpc   ms/batch: 591.9 span_avg: 170   span_max: 4009
steps: 72000    train: 1.172bpc val: 1.131bpc   ms/batch: 573.7 span_avg: 171   span_max: 4044
steps: 73000    train: 1.157bpc val: 1.136bpc   ms/batch: 602.5 span_avg: 171   span_max: 4064
steps: 74000    train: 1.160bpc val: 1.143bpc   ms/batch: 589.3 span_avg: 172   span_max: 4089
steps: 75000    train: 1.169bpc val: 1.128bpc   ms/batch: 586.8 span_avg: 174   span_max: 4107
steps: 76000    train: 1.153bpc val: 1.130bpc   ms/batch: 618.8 span_avg: 174   span_max: 4129
steps: 77000    train: 1.164bpc val: 1.141bpc   ms/batch: 590.6 span_avg: 174   span_max: 4156
steps: 78000    train: 1.152bpc val: 1.127bpc   ms/batch: 593.1 span_avg: 175   span_max: 4186
steps: 79000    train: 1.157bpc val: 1.128bpc   ms/batch: 617.1 span_avg: 176   span_max: 4205
steps: 68000    train: 1.174bpc val: 1.149bpc   ms/batch: 576.8 span_avg: 169   span_max: 3945
steps: 69000    train: 1.174bpc val: 1.132bpc   ms/batch: 565.1 span_avg: 169   span_max: 3957
steps: 70000    train: 1.162bpc val: 1.143bpc   ms/batch: 588.6 span_avg: 169   span_max: 3975
steps: 71000    train: 1.170bpc val: 1.147bpc   ms/batch: 591.9 span_avg: 170   span_max: 4009
steps: 72000    train: 1.172bpc val: 1.131bpc   ms/batch: 573.7 span_avg: 171   span_max: 4044
steps: 73000    train: 1.157bpc val: 1.136bpc   ms/batch: 602.5 span_avg: 171   span_max: 4064
steps: 74000    train: 1.160bpc val: 1.143bpc   ms/batch: 589.3 span_avg: 172   span_max: 4089
steps: 75000    train: 1.169bpc val: 1.128bpc   ms/batch: 586.8 span_avg: 174   span_max: 4107
steps: 76000    train: 1.153bpc val: 1.130bpc   ms/batch: 618.8 span_avg: 174   span_max: 4129
steps: 77000    train: 1.164bpc val: 1.141bpc   ms/batch: 590.6 span_avg: 174   span_max: 4156
steps: 78000    train: 1.152bpc val: 1.127bpc   ms/batch: 593.1 span_avg: 175   span_max: 4186
steps: 79000    train: 1.157bpc val: 1.128bpc   ms/batch: 617.1 span_avg: 176   span_max: 4205
steps: 80000    train: 1.159bpc val: 1.137bpc   ms/batch: 587.8 span_avg: 176   span_max: 4217
steps: 81000    train: 1.145bpc val: 1.129bpc   ms/batch: 583.8 span_avg: 177   span_max: 4241
steps: 82000    train: 1.156bpc val: 1.125bpc   ms/batch: 616.5 span_avg: 178   span_max: 4271
steps: 83000    train: 1.157bpc val: 1.131bpc   ms/batch: 594.7 span_avg: 178   span_max: 4297
steps: 84000    train: 1.141bpc val: 1.126bpc   ms/batch: 587.6 span_avg: 178   span_max: 4320
steps: 85000    train: 1.145bpc val: 1.121bpc   ms/batch: 583.5 span_avg: 179   span_max: 4342
steps: 86000    train: 1.154bpc val: 1.129bpc   ms/batch: 603.7 span_avg: 179   span_max: 4350
steps: 87000    train: 1.139bpc val: 1.125bpc   ms/batch: 611.6 span_avg: 180   span_max: 4368
steps: 88000    train: 1.150bpc val: 1.116bpc   ms/batch: 591.7 span_avg: 180   span_max: 4385
steps: 89000    train: 1.138bpc val: 1.124bpc   ms/batch: 588.5 span_avg: 181   span_max: 4395
steps: 90000    train: 1.144bpc val: 1.120bpc   ms/batch: 586.4 span_avg: 181   span_max: 4408
steps: 79000    train: 1.157bpc val: 1.128bpc   ms/batch: 617.1 span_avg: 176   span_max: 4205
steps: 80000    train: 1.159bpc val: 1.137bpc   ms/batch: 587.8 span_avg: 176   span_max: 4217
steps: 81000    train: 1.145bpc val: 1.129bpc   ms/batch: 583.8 span_avg: 177   span_max: 4241
steps: 82000    train: 1.156bpc val: 1.125bpc   ms/batch: 616.5 span_avg: 178   span_max: 4271
steps: 80000    train: 1.159bpc val: 1.137bpc   ms/batch: 587.8 span_avg: 176   span_max: 4217
steps: 81000    train: 1.145bpc val: 1.129bpc   ms/batch: 583.8 span_avg: 177   span_max: 4241
steps: 82000    train: 1.156bpc val: 1.125bpc   ms/batch: 616.5 span_avg: 178   span_max: 4271
steps: 83000    train: 1.157bpc val: 1.131bpc   ms/batch: 594.7 span_avg: 178   span_max: 4297
steps: 84000    train: 1.141bpc val: 1.126bpc   ms/batch: 587.6 span_avg: 178   span_max: 4320
steps: 85000    train: 1.145bpc val: 1.121bpc   ms/batch: 583.5 span_avg: 179   span_max: 4342
steps: 86000    train: 1.154bpc val: 1.129bpc   ms/batch: 603.7 span_avg: 179   span_max: 4350
steps: 87000    train: 1.139bpc val: 1.125bpc   ms/batch: 611.6 span_avg: 180   span_max: 4368
steps: 88000    train: 1.150bpc val: 1.116bpc   ms/batch: 591.7 span_avg: 180   span_max: 4385
steps: 89000    train: 1.138bpc val: 1.124bpc   ms/batch: 588.5 span_avg: 181   span_max: 4395
steps: 90000    train: 1.144bpc val: 1.120bpc   ms/batch: 586.4 span_avg: 181   span_max: 4408
steps: 91000    train: 1.146bpc val: 1.116bpc   ms/batch: 594.6 span_avg: 182   span_max: 4422
steps: 92000    train: 1.132bpc val: 1.124bpc   ms/batch: 623.4 span_avg: 183   span_max: 4435
steps: 93000    train: 1.143bpc val: 1.119bpc   ms/batch: 600.2 span_avg: 183   span_max: 4445
steps: 94000    train: 1.146bpc val: 1.113bpc   ms/batch: 596.2 span_avg: 183   span_max: 4461
steps: 95000    train: 1.129bpc val: 1.120bpc   ms/batch: 591.0 span_avg: 183   span_max: 4471
steps: 96000    train: 1.134bpc val: 1.117bpc   ms/batch: 629.3 span_avg: 184   span_max: 4478
steps: 90000    train: 1.144bpc val: 1.120bpc   ms/batch: 586.4 span_avg: 181   span_max: 4408
steps: 91000    train: 1.146bpc val: 1.116bpc   ms/batch: 594.6 span_avg: 182   span_max: 4422
steps: 92000    train: 1.132bpc val: 1.124bpc   ms/batch: 623.4 span_avg: 183   span_max: 4435
steps: 93000    train: 1.143bpc val: 1.119bpc   ms/batch: 600.2 span_avg: 183   span_max: 4445
steps: 94000    train: 1.146bpc val: 1.113bpc   ms/batch: 596.2 span_avg: 183   span_max: 4461
steps: 95000    train: 1.129bpc val: 1.120bpc   ms/batch: 591.0 span_avg: 183   span_max: 4471
steps: 96000    train: 1.134bpc val: 1.117bpc   ms/batch: 629.3 span_avg: 184   span_max: 4478
steps: 97000    train: 1.141bpc val: 1.111bpc   ms/batch: 612.9 span_avg: 184   span_max: 4480
steps: 98000    train: 1.129bpc val: 1.112bpc   ms/batch: 602.2 span_avg: 184   span_max: 4485
steps: 99000    train: 1.138bpc val: 1.117bpc   ms/batch: 598.9 span_avg: 185   span_max: 4483
steps: 100000   train: 1.127bpc val: 1.114bpc   ms/batch: 593.5 span_avg: 185   span_max: 4485
steps: 101000   train: 1.133bpc val: 1.111bpc   ms/batch: 590.0 span_avg: 185   span_max: 4480
steps: 102000   train: 1.135bpc val: 1.117bpc   ms/batch: 628.2 span_avg: 185   span_max: 4489
steps: 103000   train: 1.128bpc val: 1.122bpc   ms/batch: 603.9 span_avg: 186   span_max: 4487
steps: 104000   train: 1.127bpc val: 1.113bpc   ms/batch: 602.4 span_avg: 186   span_max: 4493
steps: 105000   train: 1.127bpc val: 1.120bpc   ms/batch: 620.4 span_avg: 186   span_max: 4492
steps: 106000   train: 1.121bpc val: 1.114bpc   ms/batch: 636.6 span_avg: 186   span_max: 4496
